Number of labels,Ours (mean),Ours (standard deviation),ResNet (mean),ResNet (standard deviation)
12,0.7198,0.076309304806164,0.2724,0.031428291394856
15,0.80535,0.040000187499561,0.25715,0.019632243886016
18,0.7751,0.035261026644158,0.2695,0.040296944673263
23,0.88045,0.035383400062741,0.7461,0.090877940117501
29,0.89805,0.041716123981022,0.82665,0.035556117617085
36,0.9005,0.037496666518505,0.81815,0.037756042562748
45,0.9417,0.021591317699483,0.85635,0.024788858384363
57,0.95995,0.020026482466974,0.88995,0.005336782738692
71,0.97945,0.01127208942477,0.8772,0.021426035564238
89,0.98495,0.004945705207551,0.87905,0.022284664009134
111,0.99215,0.005582562135794,0.90955,0.003680183419342
139,0.9944,0.003806573262135,0.92655,0.004881085944746
174,0.99695,0.000871779788708,0.92635,0.004645562398677
218,0.99825,0.00094868329805,0.94705,0.004991868387688
272,0.99885,0.000538516480713,0.94725,0.012223184936832
341,0.99865,0.00071763500472,0.9678,0.005710188263096
426,0.99925,0.000316227766017,0.9791,0.005644687768159
532,0.99935,0.000463680924775,0.99045,0.004590751572455
666,0.9996,0.0003,0.99645,0.001418626095911
832,0.9998,0.000187082869339,0.999,0.000901387818866
1000,0.99975,0,0.99985,0.000136930639376
