,Z-Normalized,Ours (1),Ours (2),Ours (5),Ours(10),Ours (combined),"Ours (FordA, 5)",,HIVE-COTE,ST,BOSS,EE,DTW,FCN,TimeNet,RWS
Adiac,Y,0.747,0.734,0.752,0.747,0.775,0.788,,0.811,0.783,0.765,0.665,0.604,0.857,0.565,
ArrowHead,Y,0.777,0.8,0.834,0.766,0.851,0.783,,0.863,0.737,0.834,0.811,0.703,,,
Beef,Y,0.633,0.667,0.633,0.633,0.633,0.767,,0.933,0.9,0.8,0.633,0.633,0.75,,0.733
BeetleFly,Y,0.85,0.8,0.85,0.85,0.85,0.95,,0.95,0.9,0.9,0.75,0.7,,,
BirdChicken,Y,0.8,0.9,0.75,0.9,0.9,0.9,,0.85,0.8,0.95,0.8,0.75,,,
Car,Y,0.75,0.867,0.667,0.783,0.817,0.683,,0.867,0.917,0.833,0.833,0.733,,,
CBF,Y,0.988,0.999,0.996,0.997,0.998,0.989,,0.999,0.974,0.998,0.998,0.997,1,,
ChlorineConcentration,Y,0.717,0.736,0.728,0.697,0.75,0.696,,0.712,0.7,0.661,0.656,0.648,0.843,0.723,0.572
CinCECGtorso,Y,0.641,0.733,0.784,0.699,0.726,0.63,,0.996,0.954,0.887,0.942,0.651,0.813,,
Coffee,Y,1,1,1,1,1,1,,1,0.964,1,1,1,1,,
Computers,Y,0.696,0.692,0.708,0.684,0.704,0.696,,0.76,0.736,0.756,0.708,0.7,,,
CricketX,Y,0.751,0.715,0.715,0.751,0.79,0.618,,0.823,0.772,0.736,0.813,0.754,0.815,0.659,
CricketY,Y,0.651,0.697,0.685,0.69,0.726,0.638,,0.849,0.779,0.754,0.805,0.744,0.792,X,
CricketZ,Y,0.723,0.721,0.736,0.754,0.767,0.656,,0.831,0.787,0.746,0.782,0.754,0.813,X,
DiatomSizeReduction,Y,0.987,0.977,0.993,0.993,0.99,0.958,,0.941,0.925,0.931,0.944,0.967,0.93,,
DistalPhalanxOutlineCorrect,Y,0.754,0.703,0.775,0.743,0.75,0.707,,0.772,0.775,0.728,0.728,0.717,,X,
DistalPhalanxOutlineAgeGroup,Y,0.727,0.734,0.748,0.741,0.748,0.741,,0.763,0.77,0.748,0.691,0.77,,X,
DistalPhalanxTW,Y,0.647,0.662,0.669,0.64,0.676,0.676,,0.683,0.662,0.676,0.647,0.59,,X,X
Earthquakes,Y,0.748,0.748,0.748,0.748,0.748,0.748,,0.748,0.741,0.748,0.741,0.719,,,
ECG200,Y,0.83,0.85,0.85,0.85,0.87,0.85,,0.85,0.83,0.87,0.88,0.77,,,
ECG5000,Y,0.938,0.941,0.935,0.938,0.94,0.943,,0.946,0.944,0.941,0.939,0.924,,0.934,0.933
ECGFiveDays,Y,1,1,1,1,1,1,,1,0.984,1,0.82,0.768,0.985,X,
ElectricDevices,Y,0.722,0.712,0.687,0.682,0.73,0.676,,0.77,0.747,0.799,0.663,0.602,,0.665,
FaceAll,Y,0.782,0.761,0.757,0.779,0.786,0.75,,0.803,0.779,0.782,0.849,0.808,0.929,,
FaceFour,Y,0.795,0.841,0.886,0.898,0.875,0.864,,0.955,0.852,1,0.909,0.83,0.932,,
FacesUCR,Y,0.877,0.891,0.861,0.857,0.893,0.873,,0.963,0.906,0.957,0.945,0.905,0.948,,
FiftyWords,Y,0.745,0.752,0.767,0.723,0.778,0.668,,0.809,0.705,0.705,0.82,0.69,0.679,,
Fish,Y,0.909,0.874,0.874,0.811,0.897,0.949,,0.989,0.989,0.989,0.966,0.823,0.971,,
FordA,Y,0.924,0.92,0.922,0.92,0.932,0.922,,0.964,0.971,0.93,0.738,0.555,,X,
